合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,404.70,404.70,404.25,404.55,1.90,0.47%,404.55,14.00,"5,663,700.00",-,,
Au99.99,403.99,405.00,402.30,403.80,0.80,0.20%,404.52,"7,699.80","3,112,796,359.80",-,,
Au100g,404.70,405.17,402.10,405.00,8.04,2.03%,404.63,13.40,"5,422,086.00",-,,
iAu99.99,404.41,406.25,404.25,405.65,1.66,0.41%,405.69,601.56,"244,048,650.00",-,,
Au(T+D),403.57,405.54,402.70,403.99,1.06,0.26%,404.36,"13,684.00","5,533,286,520.00","158,402",空支付给多,"7,884"
Au(T+N1),405.00,405.00,405.00,405.00,2.00,0.50%,405.00,2.20,"891,000.00","71,672",,
Au(T+N2),408.00,409.00,408.00,408.75,0.75,0.18%,408.75,0.80,"327,000.00","74,338",,
mAu(T+D),403.99,405.58,402.70,403.93,1.00,0.25%,404.40,"3,680.20","1,488,299,318.00","539,294",多支付给空,"33,138"
Pt99.95,215.48,215.55,214.70,215.10,-0.58,-0.27%,215.15,42.00,"9,036,640.00",-,,
Ag(T+D),"4,810","4,855","4,803","4,811",-33,-0.68%,"4,823","1,642,254.00","7,920,653,064.00","5,529,848",多支付给空,"360,300"
NYAuTN06,405.15,406.65,403.70,405.35,1.95,0.48%,405.40,39.00,"15,811,270.00","30,092",,
NYAuTN12,410.40,411.60,409.50,410.50,1.75,0.43%,410.65,63.80,"26,199,910.00","64,636",,
PGC30g,410.38,410.38,410.38,410.38,0.98,0.24%,410.38,0.06,"24,622.80",-,,
