合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,396.80,398.50,396.80,398.16,3.00,0.76%,397.31,132.00,"51,064,000.00",-,,
Au99.99,396.00,399.00,395.58,398.39,3.27,0.83%,398.24,"11,014.38","4,370,251,973.80",-,,
Au100g,399.00,399.49,398.35,398.79,1.65,0.42%,398.97,7.60,"3,032,202.00",-,,
iAu99.99,396.60,398.50,396.60,398.33,3.33,0.84%,398.04,1.20,"477,652.00",-,,
Au(T+D),395.74,398.94,395.11,398.12,2.83,0.72%,397.96,"24,496.00","9,748,634,420.00","173,190",空支付给多,"9,364"
Au(T+N1),396.50,398.80,396.50,398.25,3.05,0.77%,398.25,3.20,"1,274,360.00","73,748",,
Au(T+N2),401.00,404.60,400.10,402.30,2.90,0.73%,402.30,4.60,"1,850,600.00","74,302",,
mAu(T+D),395.13,398.88,395.13,398.01,2.73,0.69%,398.00,"4,815.00","1,916,412,520.00","582,994",多支付给空,"18,862"
Pt99.95,209.00,211.71,209.00,211.23,4.48,2.17%,211.00,792.00,"169,310,660.00",-,,
Ag(T+D),"5,010","5,079","4,978","5,064",72,1.44%,"5,038","1,734,044.00","8,737,097,980.00","5,912,752",多支付给空,180
NYAuTN06,396.50,399.15,396.00,398.75,3.60,0.91%,398.15,34.20,"13,617,680.00","32,512",,
NYAuTN12,402.45,405.30,402.10,405.20,3.50,0.87%,403.75,31.20,"12,597,860.00","66,536",,
PGC30g,404.02,404.02,404.02,404.02,2.27,0.57%,404.02,0.06,"24,241.20",-,,
