合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,402.80,402.80,402.80,402.80,3.47,0.87%,402.80,2.00,"805,600.00",-,,
Au99.99,401.00,404.38,400.60,403.70,3.84,0.96%,403.19,"7,053.62","2,835,930,526.40",-,,
Au100g,401.30,404.96,401.30,404.48,4.99,1.25%,403.58,11.60,"4,681,630.00",-,,
iAu99.99,401.76,405.00,400.99,404.68,4.78,1.20%,403.94,251.12,"101,438,605.60",-,,
Au(T+D),401.00,403.88,400.30,403.27,2.44,0.61%,402.39,"16,428.00","6,610,599,220.00","174,032",空支付给多,"8,998"
Au(T+N1),400.50,403.00,400.50,402.55,3.15,0.79%,402.45,9.40,"3,783,080.00","73,748",,
Au(T+N2),-,-,-,-,,,-,0.00,0.00,"74,316",,
mAu(T+D),400.90,404.00,400.40,403.40,2.38,0.59%,402.65,"2,727.40","1,098,191,322.00","551,906",空支付给多,"21,078"
Pt99.95,212.79,214.31,212.79,214.17,2.82,1.33%,214.01,"1,846.00","394,788,880.00",-,,
Ag(T+D),"5,168","5,174","5,140","5,161",-8,-0.15%,"5,158","1,095,154.00","5,648,924,612.00","5,416,138",空支付给多,"144,120"
NYAuTN06,402.95,405.60,402.75,405.25,4.25,1.06%,403.55,79.40,"32,043,590.00","32,036",,
NYAuTN12,408.45,410.55,407.60,410.40,3.35,0.82%,409.30,69.20,"28,324,930.00","65,756",,
PGC30g,408.66,409.64,408.66,409.15,4.15,1.02%,409.15,0.12,"49,098.00",-,,
