合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,399.20,399.90,399.20,399.52,-0.09,-0.02%,399.52,130.00,"51,937,800.00",-,,
Au99.99,398.60,400.00,398.00,399.36,0.05,0.01%,399.42,"13,851.36","5,532,183,494.20",-,,
Au100g,399.50,400.50,399.50,399.98,1.16,0.29%,399.99,15.40,"6,159,854.00",-,,
iAu99.99,399.00,400.00,398.75,399.58,1.39,0.35%,399.58,2.74,"1,094,868.60",-,,
Au(T+D),398.75,399.99,398.01,399.59,1.84,0.46%,399.27,"17,214.00","6,873,049,880.00","148,372",空支付给多,"6,836"
Au(T+N1),399.50,399.50,399.50,399.50,0.95,0.24%,399.50,0.20,"79,900.00","71,666",空支付给多,
Au(T+N2),-,-,-,-,,,-,0.00,0.00,"74,358",,
mAu(T+D),399.00,400.01,398.21,399.07,1.05,0.26%,399.43,"6,280.20","2,508,558,212.00","602,142",空支付给多,"28,160"
Pt99.95,213.87,214.05,213.26,213.34,-0.44,-0.21%,213.79,582.00,"122,402,940.00",-,,
Ag(T+D),"4,735","4,783","4,722","4,754",32,0.68%,"4,758","1,357,732.00","6,460,990,864.00","5,680,022",空支付给多,150
NYAuTN06,397.65,399.80,397.50,398.60,1.20,0.30%,399.15,197.60,"78,877,450.00","26,148",,
NYAuTN12,404.20,405.75,403.75,404.40,1.25,0.31%,404.65,114.40,"46,290,570.00","64,624",,
PGC30g,404.25,404.25,404.25,404.25,0.53,0.13%,404.25,0.06,"24,255.00",-,,
