合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,402.50,402.80,402.50,402.65,-0.82,-0.20%,402.65,4.00,"1,610,600.00",-,,
Au99.99,404.00,406.00,400.70,403.00,0.31,0.08%,402.66,"10,183.06","4,021,038,634.00",-,,
Au100g,405.85,405.85,396.80,396.96,-7.13,-1.76%,401.40,28.80,"11,560,456.00",-,,
iAu99.99,405.25,407.00,402.30,403.99,0.09,0.02%,403.40,266.40,"107,467,263.00",-,,
Au(T+D),404.00,405.80,400.50,403.16,-0.33,-0.08%,402.93,"14,004.00","5,642,701,560.00","161,974",空支付给多,"8,232"
Au(T+N1),403.00,403.00,403.00,403.00,-1.00,-0.25%,403.00,0.20,"80,600.00","71,656",,
Au(T+N2),409.00,409.00,407.00,408.00,0.00,0.00%,408.00,0.40,"163,200.00","74,336",,
mAu(T+D),403.95,405.89,400.61,403.10,-0.53,-0.13%,402.93,"3,698.40","1,490,227,716.00","547,514",多支付给空,"51,360"
Pt99.95,216.09,216.09,215.68,215.68,-6.48,-2.92%,215.73,46.00,"9,924,000.00",-,,
Ag(T+D),"4,910","4,941","4,781","4,812",-110,-2.23%,"4,844","2,552,660.00","12,366,154,226.00","5,399,042",空支付给多,"193,200"
NYAuTN06,405.00,405.00,401.50,403.90,-0.40,-0.10%,403.40,163.60,"65,995,590.00","30,150",,
NYAuTN12,411.00,411.80,406.50,409.15,-0.55,-0.13%,408.75,94.20,"38,506,020.00","64,730",,
PGC30g,409.60,409.60,409.00,409.40,-0.20,-0.05%,409.42,0.42,"171,960.00",-,,
