合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,406.30,406.60,405.90,406.23,1.88,0.46%,406.23,116.00,"44,899,800.00",-,,
Au99.99,402.45,407.20,402.45,406.82,2.34,0.58%,406.31,"9,808.24","3,977,289,625.00",-,,
Au100g,405.00,407.00,402.50,406.82,2.82,0.70%,405.84,13.20,"5,357,112.00",-,,
iAu99.99,403.50,408.00,403.50,407.36,3.07,0.76%,407.15,107.00,"43,565,414.00",-,,
Au(T+D),403.11,407.00,403.11,406.00,2.27,0.56%,406.17,"14,482.00","5,882,190,040.00","183,146",多支付给空,"8,570"
Au(T+N1),405.00,407.00,405.00,406.80,4.50,1.12%,405.90,2.40,"974,150.00","73,756",,
Au(T+N2),409.50,413.00,409.50,410.20,2.70,0.66%,410.90,1.80,"739,620.00","74,314",,
mAu(T+D),403.51,406.99,403.51,406.73,2.79,0.69%,406.25,"3,411.00","1,385,724,948.00","558,638",多支付给空,"40,442"
Pt99.95,215.08,215.08,215.08,215.08,2.11,0.99%,215.08,702.00,"146,030,160.00",-,,
Ag(T+D),"5,219","5,315","5,213","5,269",74,1.42%,"5,264","1,416,920.00","7,458,863,930.00","5,647,556",空支付给多,"218,280"
NYAuTN06,406.50,408.85,406.50,408.45,3.05,0.75%,408.25,19.60,"8,002,030.00","32,528",,
NYAuTN12,412.00,413.70,412.00,413.40,2.90,0.71%,413.15,33.00,"13,634,470.00","65,902",,
PGC30g,413.74,413.74,411.85,412.77,2.43,0.59%,412.77,0.30,"123,832.80",-,,
