合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,403.90,404.90,403.80,403.99,-2.24,-0.55%,404.17,72.00,"29,100,700.00",-,,
Au99.99,407.33,407.59,403.65,404.81,-2.01,-0.49%,404.36,"11,317.64","4,504,661,315.40",-,,
Au100g,407.60,407.69,403.63,404.20,-2.62,-0.64%,404.76,11.20,"4,533,370.00",-,,
iAu99.99,407.36,407.60,404.40,405.50,-1.86,-0.46%,405.18,137.34,"55,648,058.20",-,,
iAu100g,400.00,403.89,400.00,401.94,82.94,26.00%,401.94,1.20,"482,334.00",-,,
Au(T+D),406.99,407.55,403.45,404.55,-1.62,-0.40%,404.51,"21,166.00","8,561,981,940.00","184,186",多支付给空,"6,148"
Au(T+N1),405.00,405.00,403.00,403.80,-2.10,-0.52%,403.70,3.20,"1,291,800.00","73,754",,
Au(T+N2),412.50,412.50,409.55,410.75,-0.15,-0.04%,410.75,1.00,"410,750.00","74,316",,
mAu(T+D),407.25,407.58,403.59,404.71,-1.54,-0.38%,404.78,"4,629.80","1,874,077,812.00","560,292",多支付给空,"25,486"
Pt99.95,218.44,218.44,218.00,218.22,3.14,1.46%,218.22,84.00,"17,672,880.00",-,,
Ag99.99,"5,270","5,274","5,270","5,271",238,4.73%,"5,271","6,000.00","31,627,200.00",400,,
Ag(T+D),"5,296","5,325","5,236","5,253",-11,-0.21%,"5,271","1,483,780.00","7,821,417,698.00","5,503,586",空支付给多,"156,990"
NYAuTN06,408.25,408.25,405.30,405.70,-2.55,-0.62%,405.70,61.00,"24,747,800.00","32,288",,
NYAuTN12,414.40,414.40,410.25,410.90,-2.25,-0.54%,410.90,39.80,"16,354,920.00","65,912",,
PGC30g,409.90,410.50,409.90,410.20,-2.57,-0.62%,410.20,0.12,"49,224.00",-,,
