合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,400.60,400.60,400.60,400.60,0.23,0.06%,400.60,2.00,"801,200.00",-,,
Au99.99,401.00,402.19,400.00,400.64,0.47,0.12%,400.59,"16,700.98","6,655,295,069.40",-,,
Au100g,401.50,403.00,400.85,400.90,-0.26,-0.06%,401.25,14.60,"5,858,358.00",-,,
iAu99.99,401.50,402.50,401.05,401.35,-0.05,-0.01%,401.60,"4,688.14","1,882,770,528.00",-,,
Au(T+D),400.10,402.02,399.32,400.35,0.46,0.12%,400.53,"12,892.00","5,163,667,500.00","171,176",空支付给多,"5,196"
Au(T+N1),401.00,401.00,401.00,401.00,-3.00,-0.74%,401.00,0.40,"160,400.00","73,684",,
Au(T+N2),406.00,406.00,406.00,406.00,0.05,0.01%,406.00,0.20,"81,200.00","74,328",,
mAu(T+D),400.13,402.20,399.96,400.66,0.41,0.10%,400.67,"6,225.40","2,494,335,482.00","565,404",多支付给空,"28,754"
Pt99.95,204.37,206.10,202.55,203.01,-2.04,-0.99%,204.35,764.00,"156,176,740.00",-,,
Ag(T+D),"4,961","4,990","4,930","4,934",-28,-0.56%,"4,951","1,751,414.00","8,672,134,630.00","5,518,326",多支付给空,"187,200"
NYAuTN06,401.60,403.60,401.25,401.45,0.20,0.05%,401.65,7.40,"2,972,350.00","31,140",,
NYAuTN12,406.80,408.95,406.35,407.10,0.35,0.09%,407.20,49.60,"20,196,390.00","65,448",,
PGC30g,407.05,407.05,406.00,406.46,0.04,0.01%,406.46,0.18,"73,163.40",-,,
