合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,402.60,402.70,402.60,402.64,4.99,1.25%,402.62,280.00,"112,734,800.00",-,,
Au99.99,400.10,403.50,400.00,402.69,2.34,0.58%,402.84,"6,896.70","2,757,716,796.80",-,,
Au100g,400.40,403.79,400.40,403.68,3.33,0.83%,403.22,19.40,"7,822,526.00",-,,
iAu99.99,400.00,403.30,399.71,402.05,1.66,0.41%,401.07,1.42,"569,524.20",-,,
Au(T+D),400.50,403.55,398.00,402.83,3.84,0.96%,401.70,"18,344.00","7,368,898,620.00","156,026",多支付给空,"7,618"
Au(T+N1),399.70,402.50,399.70,401.25,0.40,0.10%,401.25,0.60,"240,740.00","71,650",,
Au(T+N2),406.50,406.50,405.55,406.00,0.95,0.23%,406.00,0.40,"162,410.00","74,362",,
mAu(T+D),400.76,403.50,398.08,402.61,3.69,0.92%,401.73,"3,887.00","1,561,535,192.00","550,374",多支付给空,"20,018"
Pt99.95,224.98,224.98,223.39,224.32,2.55,1.15%,224.32,842.00,"180,424,900.00",-,,
Ag(T+D),"4,735","4,773","4,682","4,700",-31,-0.66%,"4,727","2,446,022.00","11,562,359,990.00","5,446,570",多支付给空,"229,200"
NYAuTN06,400.95,404.30,399.00,403.10,2.55,0.64%,403.30,165.40,"66,704,470.00","29,702",,
NYAuTN12,406.95,409.55,404.85,408.75,2.20,0.54%,407.80,120.40,"49,096,990.00","64,330",,
PGC30g,408.80,408.80,408.80,408.80,5.08,1.26%,408.80,0.06,"24,528.00",-,,
