合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,404.00,404.00,403.00,403.47,-1.63,-0.40%,403.53,132.00,"53,141,720.00",-,,
Au99.99,403.51,404.19,402.05,402.69,-2.51,-0.62%,403.66,"6,548.86","2,641,161,430.40",-,,
Au100g,404.96,404.96,375.89,404.09,-1.34,-0.33%,401.70,21.20,"8,516,086.00",-,,
iAu99.99,404.21,404.90,403.90,403.90,-2.50,-0.62%,404.60,280.78,"113,604,708.00",-,,
Au(T+D),402.05,404.00,402.05,402.98,-0.52,-0.13%,403.49,"9,004.00","3,633,066,240.00","163,672",多支付给空,"9,192"
Au(T+N1),404.00,404.00,404.00,404.00,-1.20,-0.30%,404.00,0.20,"80,800.00","71,656",,
Au(T+N2),-,-,-,-,,,-,0.00,0.00,"74,332",,
mAu(T+D),403.23,404.02,402.00,403.15,-1.30,-0.32%,403.63,"4,693.20","1,894,318,468.00","570,688",空支付给多,"44,312"
Pt99.95,222.00,222.66,221.96,222.16,15.15,7.32%,222.01,928.00,"198,079,560.00",-,,
Ag(T+D),"4,885","4,951","4,885","4,893",-15,-0.31%,"4,922","1,199,208.00","5,903,692,188.00","5,335,868",多支付给空,"261,150"
NYAuTN06,404.25,405.00,403.80,404.00,-2.10,-0.52%,404.30,21.60,"8,733,100.00","30,460",,
NYAuTN12,409.80,410.40,408.75,408.95,-2.50,-0.61%,409.70,50.60,"20,730,020.00","65,050",,
PGC30g,409.60,409.60,409.60,409.60,-2.20,-0.53%,409.60,0.06,"24,576.00",-,,
