合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,398.00,398.95,397.50,397.69,0.16,0.04%,397.79,228.00,"91,069,200.00",-,,
Au99.99,396.25,399.30,395.40,398.23,1.62,0.41%,398.30,"12,853.64","5,090,752,810.60",-,,
Au100g,396.52,400.00,396.50,399.38,1.01,0.25%,398.95,13.00,"5,186,364.00",-,,
iAu99.99,397.36,398.10,397.36,397.77,-0.57,-0.14%,397.77,1.02,"405,726.20",-,,
Au(T+D),396.04,399.00,394.93,398.19,0.56,0.14%,397.56,"18,194.00","7,233,311,500.00","147,056",空支付给多,"9,686"
Au(T+N1),396.00,398.00,396.00,397.75,0.25,0.06%,397.75,1.60,"636,390.00","71,634",空支付给多,
Au(T+N2),400.50,402.40,400.50,401.75,2.80,0.70%,401.75,0.60,"241,060.00","74,356",,
mAu(T+D),396.50,399.10,395.10,398.50,0.84,0.21%,397.95,"6,854.00","2,727,587,640.00","575,306",空支付给多,"27,856"
Pt99.95,216.19,217.52,215.80,216.83,-0.03,-0.01%,216.34,96.00,"20,768,880.00",-,,
Ag(T+D),"4,740","4,758","4,703","4,753",0,0.00%,"4,733","1,412,966.00","6,688,508,862.00","5,584,120",空支付给多,"8,370"
NYAuTN06,396.90,398.95,394.70,397.60,0.35,0.09%,398.20,119.60,"47,627,960.00","28,588",,
NYAuTN12,402.00,404.55,401.00,403.75,0.55,0.14%,402.95,127.40,"51,336,910.00","64,644",,
PGC30g,402.75,402.75,402.75,402.75,0.30,0.07%,402.75,0.06,"24,165.00",-,,
