合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,396.30,396.30,395.00,395.30,-4.10,-1.03%,395.58,30.00,"11,867,400.00",-,,
Au99.99,397.60,397.60,394.80,396.26,-2.69,-0.67%,395.96,"15,523.90","6,145,868,594.60",-,,
Au100g,396.70,397.39,395.80,396.13,-3.83,-0.96%,396.73,35.40,"14,044,278.00",-,,
iAu99.99,397.50,398.08,396.00,397.16,-3.31,-0.83%,396.98,2.78,"1,103,606.60",-,,
Au(T+D),396.74,397.50,394.30,395.87,-4.36,-1.09%,395.74,"30,178.00","11,942,644,640.00","152,872",多支付给空,"8,708"
Au(T+N1),397.15,397.15,397.00,397.10,-3.40,-0.85%,397.10,0.60,"238,250.00","71,636",,
Au(T+N2),400.80,402.80,400.00,402.15,-1.85,-0.46%,401.95,1.80,"723,480.00","74,364",,
mAu(T+D),397.75,397.75,394.50,396.05,-4.14,-1.03%,396.12,"7,563.60","2,996,161,516.00","549,954",多支付给空,"33,406"
Pt99.95,215.79,215.79,215.00,215.00,-3.66,-1.67%,215.42,864.00,"184,163,060.00",-,,
Ag(T+D),"4,603","4,686","4,555","4,656",17,0.37%,"4,627","2,110,388.00","9,766,454,588.00","5,691,310",多支付给空,"5,610"
NYAuTN06,397.05,397.35,394.50,396.00,-4.90,-1.22%,395.85,126.60,"50,118,300.00","29,444",,
NYAuTN12,402.75,403.20,400.45,402.05,-4.80,-1.18%,401.90,95.40,"38,344,000.00","64,554",,
PGC30g,403.00,403.73,403.00,403.57,-3.51,-0.86%,403.59,1.56,"629,607.60",-,,
