合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,402.20,402.20,397.50,397.65,-4.65,-1.16%,397.76,162.00,"64,437,300.00",-,,
Au99.99,401.58,404.99,397.50,400.35,-2.01,-0.50%,398.26,"12,333.04","4,891,045,271.20",-,,
Au100g,401.50,401.50,398.00,400.35,-1.82,-0.45%,399.32,31.40,"12,538,758.00",-,,
iAu99.99,403.61,403.61,397.50,400.39,-3.61,-0.89%,400.92,1.20,"481,112.00",-,,
Au(T+D),402.45,403.20,397.40,400.20,-2.10,-0.52%,398.99,"28,030.00","11,183,696,600.00","154,872",多支付给空,"5,028"
Au(T+N1),401.80,401.80,399.00,400.85,-1.45,-0.36%,400.85,2.60,"1,042,160.00","71,650",,
Au(T+N2),407.00,407.00,403.00,405.05,-1.05,-0.26%,405.05,2.80,"1,134,200.00","74,364",,
mAu(T+D),402.95,403.19,397.29,400.36,-1.83,-0.46%,398.92,"4,618.40","1,842,395,644.00","547,072",空支付给多,"23,448"
Pt99.95,221.12,222.37,221.00,221.77,3.55,1.63%,221.56,862.00,"184,824,060.00",-,,
Ag(T+D),"4,785","4,810","4,680","4,723",-55,-1.15%,"4,731","2,430,478.00","11,499,016,648.00","5,528,800",多支付给空,"150,000"
NYAuTN06,403.65,403.70,398.55,400.85,-2.45,-0.61%,400.55,65.60,"26,275,900.00","29,924",,
NYAuTN12,408.75,408.90,403.65,406.35,-2.05,-0.50%,406.55,113.00,"45,942,030.00","64,378",,
PGC30g,403.72,403.72,403.72,403.72,-4.09,-1.00%,403.72,0.06,"24,223.20",-,,
