合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,395.30,395.60,394.95,395.31,1.54,0.39%,395.29,82.00,"32,414,100.00",-,,
Au99.99,395.00,396.00,390.09,394.86,0.08,0.02%,395.28,"7,736.44","3,058,953,858.20",-,,
Au100g,397.69,397.69,395.15,395.79,1.31,0.33%,396.10,11.40,"4,515,624.00",-,,
iAu99.99,394.34,394.43,394.34,394.38,-2.71,-0.68%,394.38,0.40,"157,754.00",-,,
Au(T+D),393.00,396.28,392.75,394.80,0.83,0.21%,394.90,"10,712.00","4,230,191,180.00","151,046",空支付给多,"4,628"
Au(T+N1),394.95,394.95,394.95,394.95,-0.10,-0.03%,394.95,0.20,"78,990.00","71,634",空支付给多,
Au(T+N2),398.95,398.95,398.95,398.95,-0.10,-0.03%,398.95,0.20,"79,790.00","74,362",,
mAu(T+D),393.50,396.89,392.88,394.71,0.57,0.14%,395.00,"3,441.00","1,359,200,936.00","562,968",空支付给多,"28,492"
Pt99.95,213.25,213.25,211.50,211.69,-4.78,-2.21%,212.20,280.00,"59,416,060.00",-,,
Ag(T+D),"4,695","4,718","4,667","4,686",-27,-0.57%,"4,691","1,035,304.00","4,857,492,010.00","5,591,722",多支付给空,"164,940"
NYAuTN06,393.00,396.45,392.70,395.05,0.75,0.19%,394.90,27.60,"10,898,870.00","29,418",,
NYAuTN12,399.15,402.00,399.00,400.90,1.15,0.29%,400.25,92.00,"36,824,750.00","64,610",,
PGC30g,402.00,402.00,402.00,402.00,0.39,0.10%,402.00,0.06,"24,120.00",-,,
