合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,398.00,398.00,397.50,397.53,2.22,0.56%,397.53,44.00,"17,491,600.00",-,,
Au99.99,397.00,399.00,396.60,396.61,1.75,0.44%,397.58,"15,776.44","6,270,693,893.40",-,,
Au100g,398.25,399.02,396.00,398.37,2.58,0.65%,398.30,17.20,"6,850,770.00",-,,
iAu99.99,398.00,399.00,397.41,398.34,3.96,1.00%,398.27,4.92,"1,959,534.80",-,,
Au(T+D),397.10,399.00,396.51,396.78,1.88,0.48%,397.63,"31,016.00","12,333,176,000.00","147,358",多支付给空,"12,490"
Au(T+N1),397.50,397.50,397.50,397.50,2.55,0.65%,397.50,0.40,"159,000.00","71,634",空支付给多,
Au(T+N2),-,-,-,-,,,-,0.00,0.00,"74,362",,
mAu(T+D),397.02,399.00,396.55,396.65,1.65,0.42%,397.66,"6,467.00","2,571,687,482.00","550,368",空支付给多,"61,090"
Pt99.95,216.54,217.03,216.50,216.86,5.17,2.44%,216.79,46.00,"9,972,540.00",-,,
Ag(T+D),"4,740","4,774","4,726","4,747",56,1.19%,"4,753","1,704,140.00","8,100,768,592.00","5,437,340",空支付给多,"63,900"
NYAuTN06,398.00,399.00,396.40,396.45,1.55,0.39%,397.25,143.40,"56,968,050.00","29,100",,
NYAuTN12,403.05,405.00,402.30,402.60,2.35,0.59%,403.20,157.60,"63,543,810.00","64,670",,
PGC30g,402.45,402.45,402.45,402.45,0.45,0.11%,402.45,0.06,"24,147.00",-,,
