合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,400.00,400.20,399.20,399.33,-4.66,-1.15%,399.81,58.00,"23,189,000.00",-,,
Au99.99,405.00,405.85,398.60,399.86,-4.95,-1.22%,399.85,"11,659.42","4,644,420,353.20",-,,
Au100g,404.20,404.20,399.06,399.49,-4.71,-1.17%,400.41,28.40,"11,371,690.00",-,,
iAu99.99,405.00,405.00,399.30,399.90,-5.60,-1.38%,400.92,161.54,"64,766,126.40",-,,
Au(T+D),405.89,406.27,398.45,399.76,-4.75,-1.17%,400.83,"23,850.00","9,560,018,600.00","181,228",多支付给空,"7,124"
Au(T+N1),402.00,402.00,398.00,399.40,-4.30,-1.07%,399.40,1.00,"399,410.00","73,752",,
Au(T+N2),407.00,407.00,405.00,405.20,-5.55,-1.35%,405.50,1.20,"486,600.00","74,316",,
mAu(T+D),405.00,406.15,398.46,399.96,-4.82,-1.19%,401.02,"4,074.80","1,634,094,438.00","554,338",多支付给空,"25,794"
Pt99.95,212.02,212.02,211.00,211.35,-6.87,-3.15%,211.58,162.00,"34,276,640.00",-,,
Ag(T+D),"5,273","5,287","5,119","5,133",-138,-2.62%,"5,169","3,084,870.00","15,946,161,422.00","5,477,728",空支付给多,
NYAuTN06,404.25,405.30,399.65,401.85,-3.85,-0.95%,401.00,110.60,"44,351,290.00","32,052",,
NYAuTN12,410.00,410.00,405.45,405.55,-5.35,-1.30%,407.05,25.20,"10,257,300.00","65,874",,
PGC30g,407.00,407.00,403.00,405.00,-5.20,-1.27%,405.00,0.12,"48,600.00",-,,
