合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,393.60,394.10,393.30,393.77,-4.16,-1.05%,393.71,70.00,"27,560,200.00",-,,
Au99.99,396.90,398.19,393.20,394.78,-2.40,-0.60%,393.91,"12,461.94","4,911,703,636.00",-,,
Au100g,396.00,396.00,394.40,394.48,-3.29,-0.83%,394.82,21.80,"8,607,280.00",-,,
iAu99.99,397.00,398.00,396.00,397.09,1.28,0.32%,397.09,1.02,"405,034.60",-,,
Au(T+D),397.10,397.14,393.06,394.24,-2.41,-0.61%,393.97,"18,962.00","7,470,513,560.00","150,236",空支付给多,"7,430"
Au(T+N1),395.10,395.10,395.00,395.05,-2.00,-0.50%,395.05,7.80,"3,081,610.00","71,634",,
Au(T+N2),399.05,399.05,399.05,399.05,-1.95,-0.49%,399.05,0.60,"239,430.00","74,364",,
mAu(T+D),397.50,397.60,393.20,394.37,-2.75,-0.69%,394.14,"6,122.40","2,413,102,512.00","562,882",空支付给多,"34,496"
Pt99.95,215.50,216.81,215.20,216.47,2.30,1.07%,216.03,"1,532.00","321,539,300.00",-,,
Ag(T+D),"4,755","4,756","4,690","4,705",-10,-0.21%,"4,713","1,219,912.00","5,750,311,292.00","5,637,338",多支付给空,"198,000"
NYAuTN06,396.00,396.00,393.00,393.30,-4.10,-1.03%,394.30,10.00,"3,943,270.00","29,436",,
NYAuTN12,402.10,403.05,398.85,399.70,-3.00,-0.74%,399.75,84.80,"33,900,580.00","64,528",,
PGC30g,403.50,403.50,401.00,401.61,-1.89,-0.47%,402.25,0.60,"241,353.60",-,,
