合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,404.00,404.00,403.20,403.42,1.00,0.25%,403.46,28.00,"11,297,000.00",-,,
Au99.99,403.80,404.50,402.80,403.41,1.50,0.37%,403.49,"9,819.94","3,898,675,181.40",-,,
Au100g,404.20,404.30,396.51,403.09,0.20,0.05%,403.38,21.80,"8,793,814.00",-,,
iAu99.99,403.66,405.30,403.12,404.00,1.20,0.30%,404.20,232.94,"94,156,084.20",-,,
Au(T+D),403.60,404.75,402.60,403.02,0.60,0.15%,403.71,"15,684.00","6,331,939,360.00","181,986",多支付给空,"6,090"
Au(T+N1),405.00,405.00,405.00,405.00,2.25,0.56%,405.00,0.20,"81,000.00","73,750",,
Au(T+N2),-,-,-,-,,,-,0.00,0.00,"74,316",,
mAu(T+D),404.00,404.70,402.13,403.00,0.78,0.19%,403.56,"3,257.40","1,314,585,056.00","570,090",多支付给空,"31,628"
Pt99.95,211.99,212.49,211.15,211.34,2.03,0.97%,211.77,586.00,"133,003,780.00",-,,
Ag(T+D),"5,217","5,249","5,192","5,212",33,0.64%,"5,224","1,956,100.00","10,219,066,930.00","6,021,922",多支付给空,"235,200"
NYAuTN06,406.20,406.50,404.30,404.60,0.50,0.12%,405.65,235.60,"95,569,110.00","32,278",,
NYAuTN12,411.30,411.75,409.35,409.65,0.40,0.10%,410.50,143.00,"58,698,980.00","66,040",,
PGC30g,410.40,410.40,410.40,410.40,0.45,0.11%,410.40,0.06,"24,624.00",-,,
