合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,400.00,400.00,400.00,400.00,1.84,0.46%,400.00,2.00,"800,000.00",-,,
Au99.99,401.00,402.50,398.05,400.28,1.89,0.47%,400.69,"8,949.32","3,577,837,601.20",-,,
Au100g,400.70,403.25,399.00,400.33,1.54,0.39%,400.59,26.60,"10,655,914.00",-,,
iAu99.99,401.35,402.00,399.00,401.80,3.47,0.87%,401.07,4.52,"1,812,865.00",-,,
Au(T+D),400.00,402.80,397.68,400.10,2.14,0.54%,400.68,"22,576.00","9,045,935,080.00","178,426",多支付给空,"7,622"
Au(T+N1),-,-,-,-,,,-,0.00,0.00,"73,748",,
Au(T+N2),402.50,406.00,400.50,404.45,2.15,0.53%,403.90,3.20,"1,292,420.00","74,312",,
mAu(T+D),401.00,403.50,397.77,400.17,2.17,0.55%,400.77,"3,688.60","1,478,297,992.00","577,646",多支付给空,"36,574"
Pt99.95,210.00,211.60,209.22,210.83,-0.40,-0.19%,210.78,"1,558.00","324,504,120.00",-,,
Ag(T+D),"5,136","5,164","5,080","5,146",108,2.14%,"5,133","2,316,682.00","11,892,594,394.00","5,968,392",多支付给空,
NYAuTN06,402.70,403.65,399.00,401.50,3.35,0.84%,401.50,130.00,"52,194,300.00","32,662",,
NYAuTN12,408.45,409.20,404.50,407.40,3.65,0.90%,407.75,30.40,"12,395,590.00","66,528",,
PGC30g,406.56,407.00,406.56,406.86,2.84,0.70%,406.86,0.24,"97,647.60",-,,
