合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,401.50,402.20,401.50,402.06,1.88,0.47%,401.99,208.00,"83,615,800.00",-,,
Au99.99,400.00,402.70,400.00,402.50,1.63,0.41%,402.13,"12,369.72","4,912,419,070.80",-,,
Au100g,401.60,402.80,400.51,402.79,1.91,0.48%,402.10,10.40,"4,181,852.00",-,,
iAu99.99,400.66,403.00,400.66,401.78,1.98,0.50%,401.59,1.20,"481,914.00",-,,
Au(T+D),400.20,402.68,399.75,402.56,2.66,0.67%,401.63,"17,466.00","7,015,000,020.00","150,730",空支付给多,"9,832"
Au(T+N1),401.00,402.00,401.00,401.75,1.85,0.46%,401.75,0.80,"321,400.00","71,672",空支付给多,
Au(T+N2),405.00,405.00,403.50,404.50,3.20,0.80%,404.50,0.60,"242,700.00","74,358",,
mAu(T+D),400.20,402.62,399.90,402.51,2.45,0.61%,401.84,"5,786.60","2,325,335,818.00","602,142",空支付给多,"66,550"
Pt99.95,216.50,216.50,215.75,215.84,1.70,0.79%,215.86,230.00,"49,648,500.00",-,,
Ag(T+D),"4,753","4,802","4,740","4,798",59,1.24%,"4,780","1,629,648.00","7,790,438,644.00","5,752,344",多支付给空,"24,120"
NYAuTN06,400.50,402.25,400.50,401.85,2.20,0.55%,401.85,57.00,"22,904,420.00","25,810",,
NYAuTN12,415.00,440.00,405.50,407.15,2.00,0.49%,407.20,180.20,"73,377,910.00","64,644",,
PGC30g,408.00,408.00,408.00,408.00,2.78,0.69%,408.00,0.06,"24,480.00",-,,
