合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,404.00,406.00,404.00,405.10,4.83,1.21%,405.09,72.00,"29,166,600.00",-,,
Au99.99,401.60,406.40,401.00,405.20,5.25,1.31%,405.40,"10,423.12","4,225,796,159.40",-,,
Au100g,401.00,407.00,401.00,405.43,4.57,1.14%,405.27,18.80,"7,619,080.00",-,,
iAu99.99,401.50,408.00,401.50,406.40,4.90,1.22%,406.57,"5,845.68","2,374,564,927.80",-,,
Au(T+D),400.98,406.20,400.45,404.78,6.38,1.60%,403.50,"24,122.00","9,733,417,400.00","164,030",空支付给多,"11,986"
Au(T+N1),404.95,405.80,404.95,405.20,7.20,1.81%,405.20,0.80,"324,180.00","71,658",,
Au(T+N2),407.00,409.00,407.00,408.00,3.00,0.74%,408.00,0.40,"163,200.00","74,332",,
mAu(T+D),400.50,406.35,400.50,405.26,6.56,1.65%,404.45,"7,283.00","2,945,666,310.00","570,844",空支付给多,"77,864"
Pt99.95,205.04,208.13,205.00,207.01,0.75,0.36%,206.78,582.00,"122,020,080.00",-,,
Ag(T+D),"4,876","4,943","4,856","4,940",37,0.75%,"4,908","1,490,534.00","7,316,400,250.00","5,488,720",多支付给空,"120,000"
NYAuTN06,402.75,407.55,402.60,406.60,6.95,1.74%,406.10,67.40,"27,372,180.00","30,548",,
NYAuTN12,407.85,412.95,407.85,411.65,6.30,1.55%,411.45,102.40,"42,134,450.00","65,134",,
PGC30g,411.80,411.80,411.80,411.80,7.37,1.82%,411.80,0.06,"24,708.00",-,,
