合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,402.30,402.30,402.30,402.30,-2.25,-0.56%,402.30,6.00,"2,413,800.00",-,,
Au99.99,402.80,404.70,401.40,402.36,-1.44,-0.36%,401.95,"10,463.18","4,157,886,905.00",-,,
Au100g,402.00,403.16,402.00,402.17,-2.83,-0.70%,402.50,14.40,"5,796,036.00",-,,
iAu99.99,404.01,405.00,403.00,404.00,-1.65,-0.41%,404.00,0.60,"242,402.00",-,,
Au(T+D),402.10,404.80,401.30,402.24,-2.12,-0.52%,402.30,"22,432.00","9,024,525,900.00","156,132",多支付给空,"7,980"
Au(T+N1),402.50,402.50,402.20,402.30,-2.70,-0.67%,402.30,0.60,"241,390.00","71,670",,
Au(T+N2),406.10,406.10,406.00,406.10,-2.65,-0.65%,406.10,4.20,"1,705,600.00","74,340",,
mAu(T+D),402.90,404.80,401.30,402.06,-2.34,-0.58%,402.19,"3,244.60","1,304,952,922.00","536,718",多支付给空,"20,498"
Pt99.95,216.98,219.67,216.98,218.22,3.12,1.45%,218.22,912.00,"194,717,080.00",-,,
Ag99.99,"4,818","4,818","4,818","4,818",-105,-2.13%,"4,818","3,000.00","14,454,000.00",200,,
Ag(T+D),"4,765","4,813","4,747","4,794",-29,-0.60%,"4,778","2,158,640.00","10,314,920,588.00","5,503,374",多支付给空,"66,060"
NYAuTN06,403.05,405.60,402.00,402.65,-2.75,-0.68%,403.30,114.40,"46,136,970.00","29,994",,
NYAuTN12,408.60,410.55,407.25,407.85,-2.80,-0.68%,408.40,106.80,"43,617,970.00","64,594",,
PGC30g,408.18,408.18,407.44,407.81,-2.57,-0.63%,407.81,0.12,"48,937.20",-,,
