合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,402.85,402.85,402.00,402.42,2.42,0.61%,402.49,12.00,"4,829,900.00",-,,
Au99.99,401.48,403.49,400.05,401.91,1.63,0.41%,402.34,"16,627.26","6,639,208,789.60",-,,
Au100g,400.26,403.00,399.90,402.89,2.56,0.64%,401.94,14.00,"5,627,172.00",-,,
iAu99.99,400.65,403.30,400.65,402.80,1.00,0.25%,402.57,84.16,"33,881,041.60",-,,
Au(T+D),400.65,403.30,400.30,401.58,0.90,0.22%,402.42,"28,436.00","11,443,458,600.00","181,000",多支付给空,"9,564"
Au(T+N1),402.50,403.00,402.50,402.75,4.50,1.13%,402.75,1.80,"725,000.00","73,752",,
Au(T+N2),407.00,408.95,407.00,407.50,3.60,0.89%,407.20,4.20,"1,710,180.00","74,316",,
mAu(T+D),400.20,403.49,400.20,401.85,1.08,0.27%,402.22,"3,855.60","1,550,833,076.00","577,840",多支付给空,"45,110"
Pt99.95,207.50,209.42,207.13,209.31,-1.52,-0.72%,208.43,326.00,"67,950,940.00",-,,
Ag(T+D),"5,126","5,208","5,122","5,183",50,0.97%,"5,179","2,257,914.00","11,695,470,308.00","5,973,592",空支付给多,"147,840"
NYAuTN06,403.00,405.00,402.60,403.85,2.35,0.59%,404.10,230.20,"93,021,720.00","32,552",,
NYAuTN12,407.55,410.55,407.55,408.90,1.15,0.28%,409.25,152.80,"62,532,210.00","66,226",,
PGC30g,409.95,409.95,409.95,409.95,3.09,0.76%,409.95,0.06,"24,597.00",-,,
