合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,396.00,398.00,396.00,397.93,2.63,0.67%,397.64,28.00,"11,134,000.00",-,,
Au99.99,396.49,398.30,394.45,397.18,0.92,0.23%,397.62,"8,186.48","3,252,659,071.40",-,,
Au100g,396.00,399.00,396.00,397.77,1.64,0.41%,398.19,33.00,"13,140,288.00",-,,
iAu99.99,395.36,396.20,395.36,395.81,-1.35,-0.34%,395.81,0.80,"316,652.00",-,,
Au(T+D),394.08,398.00,393.70,397.05,1.31,0.33%,396.65,"17,448.00","6,920,840,060.00","149,490",多支付给空,"8,016"
Au(T+N1),396.50,397.65,396.50,397.05,-0.05,-0.01%,397.05,0.40,"158,830.00","71,636",空支付给多,
Au(T+N2),401.00,401.00,401.00,401.00,-0.95,-0.24%,401.00,0.20,"80,200.00","74,362",,
mAu(T+D),394.49,398.24,393.80,397.04,0.92,0.23%,397.12,"4,687.80","1,861,634,334.00","559,112",多支付给空,"26,260"
Pt99.95,213.60,216.70,213.60,214.17,-0.83,-0.39%,215.13,876.00,"186,731,900.00",-,,
Ag(T+D),"4,660","4,749","4,650","4,728",101,2.18%,"4,715","1,608,850.00","7,587,063,002.00","5,704,438",多支付给空,"178,620"
NYAuTN06,394.50,398.55,394.50,397.35,1.50,0.38%,397.40,26.80,"10,650,770.00","29,456",,
NYAuTN12,399.85,403.95,399.60,402.85,0.95,0.24%,402.70,90.60,"36,485,690.00","64,500",,
PGC30g,403.50,403.50,403.50,403.50,-0.07,-0.02%,403.50,0.24,"96,840.00",-,,
