合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,399.40,400.50,399.40,400.18,0.66,0.17%,400.17,116.00,"46,419,800.00",-,,
Au99.99,400.00,401.10,398.50,400.87,1.51,0.38%,400.25,"8,318.78","3,322,636,621.20",-,,
Au100g,396.00,401.00,396.00,400.88,0.90,0.23%,400.60,10.00,"4,006,072.00",-,,
iAu99.99,399.50,401.00,398.20,399.80,0.22,0.06%,399.00,319.66,"127,544,736.00",-,,
Au(T+D),399.70,400.85,397.50,400.62,1.35,0.34%,399.90,"15,304.00","6,120,071,940.00","152,428",空支付给多,"5,494"
Au(T+N1),399.80,400.00,399.80,399.90,0.40,0.10%,399.90,0.80,"319,920.00","71,670",空支付给多,
Au(T+N2),-,-,-,-,,,-,0.00,0.00,"74,358",,
mAu(T+D),399.60,400.95,398.00,400.69,1.26,0.32%,400.06,"6,168.40","2,467,744,364.00","609,804",空支付给多,"42,304"
Pt99.95,213.81,214.26,213.71,214.14,0.80,0.38%,213.88,272.00,"58,177,860.00",-,,
Ag99.99,"4,772","4,775","4,772","4,773",-45,-0.93%,"4,773","6,060.00","28,927,320.00",404,,
Ag(T+D),"4,728","4,753","4,723","4,744",-14,-0.29%,"4,739","1,196,386.00","5,669,680,156.00","5,634,014",空支付给多,"12,300"
NYAuTN06,397.80,400.75,397.65,400.30,1.15,0.29%,399.65,50.60,"20,223,070.00","25,958",,
NYAuTN12,405.45,406.20,403.05,405.80,1.15,0.28%,405.15,130.40,"52,833,740.00","64,636",,
PGC30g,405.20,405.28,405.20,405.22,0.97,0.24%,405.22,0.18,"72,940.80",-,,
