version_date,title,brief,keyword,url
2022-05-13 09:09:52,5月12日陕西新增1例本土确诊病例,5月12日0-24时，新增报告本土确诊病例1例（安康）。,陕西 本土确诊病例,https://news.cctv.com/2022/05/13/ARTI9dIlz8yaE72MhDuYV0Tm220513.shtml
2022-05-13 09:08:01,坚持保护第一生态优先保护传承好长城历史文化,12日，市委书记李鸿忠主持召开会议，专题研究黄崖关长城风景名胜区总体规划。市委常委、常务副市长刘桂平，副市长孙文魁、王旭和市政府秘书长孟庆松参加。,生态优先 保护传承 历史文化价值 保护自然 风景名胜区 黄崖关长城 历史风貌 历史文化资源 长城历史 生态资源,https://news.cctv.com/2022/05/13/ARTI1kmQVPTbItThOaN7sbA5220513.shtml
2022-05-13 09:06:17,市政协党组召开扩大会议,10日，市政协党组召开扩大会议，传达学习习近平总书记在庆祝中国共产主义青年团成立100周年大会上的重要讲话精神，传达学习中央政治局常委会会议和市委常委会会议精神，结合政协实际，研究贯彻落实措施。,市政协 疫情防控 扩大会议 党组书记 重要讲话 总书记 热备 两个维护 青年干部 会议精神,https://news.cctv.com/2022/05/13/ARTI3Nf5K0xAQj1Pz7koVhDb220513.shtml
2022-05-13 09:05:12,市人大常委会党组召开扩大会议,市人大常委会党组书记、主任段春华主持会议并讲话。,市人大常委会 重要讲话 习近平 扩大会议 总书记 学习贯彻 党组书记 坚持党的领导 中央财经 中国共产主义青年团,https://news.cctv.com/2022/05/13/ARTINF7mzWC8xNVt3mJgPX9C220513.shtml
2022-05-13 09:05:09,国家卫健委：昨日新增本土确诊病例312例、本土无症状感染者2140例,5月12日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例331例。其中境外输入病例19例（福建15例，广西2例，北京1例，广东1例）；本土病例312例（上海227例，北京42例，河南15例，广东11例，青海8例，四川6例，重庆2例，陕西1例），含176例由无症状感染者转为确诊病例（上海167例，四川4例，北京3例，河南1例，广东1例）。新增死亡病例2例，均为本土病例，在上海；无新增疑似病例。,确诊 卫健 无症状,https://news.cctv.com/2022/05/13/ARTInM9HccdseWW4WJINcV4D220513.shtml
2022-05-13 09:03:51,共守美好家园 | 奔走在“水火”之前,守牢防灾减灾第一道防线，时刻为我们守护美好家园。,水火 美好家园 火眼金睛 守夜人 吹毛求疵 倍速 音轨 字幕 清晰度 汛情,https://news.cctv.com/2022/05/13/ARTIn86zXtQSlUSqcGNguxxV220513.shtml
2022-05-13 09:02:22,习总书记勉励我们继续传承弘扬“西迁精神”——习近平与大学生朋友们,2020年4月22日，习近平总书记来到西安交通大学考察，他走进交大西迁博物馆，参观了交大西迁的创业历程和辉煌成就展，看望了14位西迁老教授，与青年学生亲切交谈，对“西迁精神”给予高度赞扬。他强调，“西迁精神”的核心是爱国主义，精髓是听党指挥跟党走，真正是与党和国家、民族和人民同呼吸、共命运。他勉励师生不忘初心、牢记使命，继续传承弘扬“西迁精神”。,总书记,https://news.cctv.com/2022/05/13/ARTI5Ednk80ZYScUM0GqTd4Q220513.shtml
2022-05-13 08:37:01,广西5月12日新增本土无症状感染者1例，在防城港市,据广西卫健委，5月12日0-24时，广西新增本土无症状感染者1例（防城港市）。当日解除隔离医学观察本土无症状感染者4例（防城港市3例，百色市1例）。截至5月12日24时，全区现有本土无症状感染者58例（防城港市51例，百色市7例）。,感染者 防城港市 百色市,https://news.cctv.com/2022/05/13/ARTIkUFglmAmX0636Fg2kQPM220513.shtml
2022-05-13 08:33:38,河南5月12日新增本土确诊病例15例、本土无症状感染者29例,据河南卫健委，5月12日0—24时，河南省新增本土确诊病例15例（许昌市9例，郑州市4例，平顶山市2例），含1例由无症状感染者转为确诊病例（许昌市1例）；新增本土无症状感染者29例（许昌市15例，郑州市10例，濮阳市3例，平顶山1例），无新增本土疑似病例。新增境外输入无症状感染者4例，无新增境外输入性确诊病例和疑似病例。9例本土无症状感染者解除医学观察，18例无症状感染者解除医学观察（本土14例，境外输入4例）。,感染者 病例 本土,https://news.cctv.com/2022/05/13/ARTIWD2LRguZlhh0Ht0rIPpn220513.shtml
2022-05-13 08:25:27,天津5月12日新增1例本土无症状感染者,据天津卫健委，2022年5月12日0－24时，天津市无新增本土新冠肺炎确诊病例。无新增境外输入性新冠肺炎确诊病例。新增1例本土无症状感染者，新增5例境外输入无症状感染者。,确诊 病例 本土 新增,https://news.cctv.com/2022/05/13/ARTIecdhVLKNaogCnGW9DkRn220513.shtml
