version_date,current_value,predict_value,previous_value,refresh_date
2015-04-03,12.6,24.5,26.4,2022-04-10 18:35:53
2015-03-06,29.5,24,23.9,2022-04-10 18:35:53
2015-02-06,25.7,23.4,32.9,2022-04-10 18:35:53
2015-01-09,25.2,24,35.3,2022-04-10 18:35:53
2014-12-05,32.1,22.5,24.3,2022-04-10 18:35:53
2014-11-07,21.4,23.1,25.6,2022-04-10 18:35:53
2014-10-03,24.8,21.5,18,2022-04-10 18:35:53
2014-09-05,14.2,22.5,21.2,2022-04-10 18:35:53
2014-08-01,20.9,23.3,29.8,2022-04-10 18:35:53
2014-07-03,28.8,21.2,22.4,2022-04-10 18:35:53
2014-06-06,21.7,21.8,28.2,2022-04-10 18:35:53
2014-05-02,28.8,21,20.3,2022-04-10 18:35:53
2014-04-04,19.2,20,19.7,2022-04-10 18:35:53
2014-03-07,17.5,14.9,12.9,2022-04-10 18:35:53
2014-02-07,11.3,18.5,7.5,2022-04-10 18:35:53
2014-01-10,7.4,19.6,24.1,2022-04-10 18:35:53
2013-12-06,20.3,18,20,2022-04-10 18:35:53
2013-11-08,20.4,12.5,16.3,2022-04-10 18:35:53
2013-10-22,14.8,18,19.3,2022-04-10 18:35:53
2013-09-06,16.9,18,10.4,2022-04-10 18:35:53
2013-08-02,16.2,18.4,18.8,2022-04-10 18:35:53
2013-07-05,19.5,16.5,19.5,2022-04-10 18:35:53
2013-06-07,17.5,17,14.9,2022-04-10 18:35:53
2013-05-03,16.5,14.5,13.8,2022-04-10 18:35:53
2013-04-05,8.8,20,26.8,2022-04-10 18:35:53
2013-03-08,23.6,16,11.9,2022-04-10 18:35:53
2013-02-01,15.7,16,19.6,2022-04-10 18:35:53
2013-01-04,15.5,15,16.1,2022-04-10 18:35:53
2012-12-07,14.6,9.3,13.8,2022-04-10 18:35:53
2012-11-02,17.1,12.5,14.8,2022-04-10 18:35:53
2012-10-05,11.4,11.3,14.2,2022-04-10 18:35:53
2012-09-07,9.6,12.5,14.1,2022-04-10 18:35:53
2012-08-03,16.3,10,6.4,2022-04-10 18:35:53
2012-07-06,8,9,7.7,2022-04-10 18:35:53
2012-06-01,6.9,15,7.7,2022-04-10 18:35:53
2012-05-04,11.5,17,15.4,2022-04-10 18:35:53
2012-04-06,12,20.3,24,2022-04-10 18:35:53
2012-03-09,22.7,21,28.4,2022-04-10 18:35:53
2012-02-03,24.3,15,20.3,2022-04-10 18:35:53
2012-01-06,20,15,10,2022-04-10 18:35:53
2011-12-02,12,12,10,2022-04-10 18:35:53
2011-11-04,8,9.5,15.8,2022-04-10 18:35:53
2011-10-07,10.3,5.3,5.7,2022-04-10 18:35:53
2011-09-02,0,7.4,8.5,2022-04-10 18:35:53
2011-08-05,11.7,9.5,4.6,2022-04-10 18:35:53
2011-07-08,1.8,8.9,2.5,2022-04-10 18:35:53
2011-06-03,5.4,16.9,23.2,2022-04-10 18:35:53
2011-05-06,24.4,18.5,22.1,2022-04-10 18:35:53
2011-04-01,21.6,18.8,19.4,2022-04-10 18:35:53
2011-03-04,19.2,18,6.3,2022-04-10 18:35:53
2011-02-04,3.6,15,12.1,2022-04-10 18:35:53
2011-01-07,10.3,15,7.1,2022-04-10 18:35:53
2010-12-03,3.9,14,17.2,2022-04-10 18:35:53
2010-11-05,15.1,6,-4.1,2022-04-10 18:35:53
2010-10-08,-9.5,0.3,-5.7,2022-04-10 18:35:53
2010-09-03,-5.4,-11.8,-5.4,2022-04-10 18:35:53
2010-08-06,-13.1,-6.5,-22.1,2022-04-10 18:35:53
2010-07-02,-12.5,-10,43.3,2022-04-10 18:35:53
2010-06-04,43.1,50,29,2022-04-10 18:35:53
2010-05-07,29,18.7,23,2022-04-10 18:35:53
2010-04-02,16.2,19,-1.4,2022-04-10 18:35:53
2010-03-05,-3.6,-5.5,-2.6,2022-04-10 18:35:53
2010-02-05,-2,1.5,-15,2022-04-10 18:35:53
2010-01-08,-8.5,0,0.4,2022-04-10 18:35:53
2009-12-04,-1.1,-11.4,-11.1,2022-04-10 18:35:53
